,name,price,old_price,category,has_discount
0,ذرة قودي حبة ذهبية علب 196 جرام,4.75,,grocery,False
1,زيتون كوبوليفا اسود بلا نوى150 جرام,7.95,,grocery,False
2,زيتون حلواني اخضر بالزيت 650 جرام,31.95,,grocery,False
3,فول حدائق كاليفورنيا خلطة لبنانية 450 جرام,"Special Price

                    4.95",6.95,grocery,True
4,فول حدائق كاليفورنيا مع فلفل 450 جرام,"Special Price

                    4.95",6.95,grocery,True
5,فول حدائق كاليفورنيا خلطة مصرية 450 جرام,"Special Price

                    4.95",6.95,grocery,True
6,فول لونا امريكي علب 450 جرام,3.75,,grocery,False
7,فاصوليا لونا بيضاء 400 جرام,4.25,,grocery,False
8,زيتون اليسا اسود علب 100 جرام,"Special Price

                    5.50",6.95,grocery,True
9,زيتون كوبوليفا اسود علب 100جرام,5.75,,grocery,False
10,زيتون كوبوليفا اسود شرائح 114 جرام,"Special Price

                    5.95",8.50,grocery,True
11,حمص حدائق كاليفورنيا طحينة 400 جرام,5.25,,grocery,False
12,تونة قودي قليل الدسم بالماء 95جرام,5.95,,grocery,False
13,تونة قودي قليل الدسم بالماء 195جرام,8.95,,grocery,False
14,زيتون اليسا اسود بلا عجو 150 جرام,8.50,,grocery,False
15,تونة هالي خفيف 200جرام,6.50,,grocery,False
16,تونة هالي ابيض 200جرام,5.25,,grocery,False
17,بزاليا هالي خضراء علب 400 جرام,1.75,,grocery,False
18,زيتون كوبوليفا اسود #160 5 كيلو,135.95,,fresh-and-bakery,False
19,زيتون كوبوليفا اسود شرائح 900جرام,"Special Price

                    21.50",23.95,fresh-and-bakery,True
20,زيتون كوبوليفا اسود #320 5كيلو,97.95,,fresh-and-bakery,False
21,مرتديلا سنيورة رومي زيتون 500 جرام,19.95,,fresh-and-bakery,False
22,صدور دجاج التنمية بدون عظم450ج,19.95,,fresh-and-bakery,False
23,كعك حفلة سويتز 12حبه,8.00,,fresh-and-bakery,False
24,دجاج التنمية طازج طبق 1000جرام,20.95,,fresh-and-bakery,False
25,دجاج التنمية طازج طبق 1200جرام,22.25,,fresh-and-bakery,False
26,دجاج التنمية طازج طبق 1100جرام,21.75,,fresh-and-bakery,False
27,زبادي الصافي 170جرام,2.00,,fresh-and-bakery,False
28,زبادي الصافي قليل الدسم 170جرام,2.00,,fresh-and-bakery,False
29,زبادي زادي فراولة 100جرام,1.50,,fresh-and-bakery,False
30,زبادي نادك طازج 1كيلو,8.00,,fresh-and-bakery,False
31,بودي نادك حلى فانيليا 75جرام,1.25,,fresh-and-bakery,False
32,لبنة بينار طازجة سطل 2.75كيلو,"Special Price

                    68.50",90.50,fresh-and-bakery,True
33,لبن المراعي طازج كرتون 1لتر,6.00,,fresh-and-bakery,False
34,لبن المراعي طازج بلاستيك قليل الدسم 2لتر,11.00,,fresh-and-bakery,False
35,لبن المراعي بلاستيك قليل الدسم 180مل,2.00,,fresh-and-bakery,False
36,برجر امريكانا دجاج اكياس 15 حبة,26.95,,frozen,False
37,كفتة ارز امريكانا مصرية 900 جرام,29.95,,frozen,False
38,مفروم دجاج الوطنية رول 400 جرام,8.95,,frozen,False
39,بامية مونتانا زيرو مجمدة 400 جرام,"Special Price

                    6.50",9.95,frozen,True
40,نقانق دجاج دو حار 400 جرام,8.50,,frozen,False
41,ذرة مونتانا سكرية حب 400 جرام,"Special Price

                    3.75",5.50,frozen,True
42,برجر هرفي دجاج بالبقسماط 450 جرام,16.95,,frozen,False
43,برجر هرفي دجاج بالبقسماط 672 جرام,24.50,,frozen,False
44,برجر هرفي دجاج بالبقسماط 1120ج,38.95,,frozen,False
45,رقائق السنبلة سبرنج رول بر160 جرام,"Special Price

                    3.95",6.95,frozen,True
46,كبة شامي لحم بقر ميني 450 جرام,21.95,,frozen,False
